=== SERIES ITEMS DEBUG ===
Timestamp: 2026-03-13 00:43:16
Series items loaded: 3901
  - Series:  GE - Cursed - Die Auserwählte (ID: 2476, Category: 513)
  - Series: DE -  Echo (ID: 2539, Category: 513)
  - Series: DE - 12 Monkeys (ID: 3684, Category: 513)
  - Series: DE - 1899 (ID: 3333, Category: 513)
  - Series: DE - 1968: The Year That Changed America (ID: 3814, Category: 513)
  - Series: DE - 4 Blocks (ID: 3795, Category: 513)
  - Series: DE - 4400 - Die Rückkehrer (ID: 3824, Category: 513)
  - Series: DE - 50M2 (ID: 3661, Category: 513)
  - Series: DE - 8 Tage (ID: 3900, Category: 513)
  - Series: DE - 8 Zeugen (ID: 3579, Category: 513)
  - Series: DE - 9-1-1: Lone Star (ID: 3879, Category: 513)
  - Series: DE - A Place Further Than The Universe (ID: 3870, Category: 513)
  - Series: DE - Abandoned Engineering (ID: 3563, Category: 513)
  - Series: DE - After Life (ID: 3794, Category: 513)
  - Series: DE - Agatha Christies Hjerson (ID: 3369, Category: 513)
  - Series: DE - Alex Rider (ID: 3793, Category: 513)
  - Series: DE - ALF (ID: 3461, Category: 513)
  - Series: DE - Alice in Borderland (ID: 3690, Category: 513)
  - Series: DE - Alien TV (ID: 3792, Category: 513)
  - Series: DE - Alisa - Folge deinem Herzen (ID: 3513, Category: 513)
  - Series: DE - Alive and Kicking (ID: 3512, Category: 513)
  - Series: DE - All of Us Are Dead (ID: 3373, Category: 513)
  - Series: DE - All Rise (ID: 3364, Category: 513)
  - Series: DE - Alles Atze (ID: 3653, Category: 513)
  - Series: DE - Ally McBeal (ID: 3619, Category: 513)
  - Series: DE - AlRawabi School for Girls (ID: 3471, Category: 513)
  - Series: DE - Altered Carbon – Das Unsterblichkeitsprogramm (ID: 3831, Category: 513)
  - Series: DE - American Gods (ID: 3791, Category: 513)
  - Series: DE - American Horror Stories (ID: 3434, Category: 513)
  - Series: DE - An der perforierten Linie abreißen  (ID: 2339, Category: 513)
  - Series: DE - Animal Kingdom (ID: 3614, Category: 513)
  - Series: DE - Anne with an E (ID: 3878, Category: 513)
  - Series: DE - Arcane (ID: 3412, Category: 513)
  - Series: DE - Archive 81 (ID: 3379, Category: 513)
  - Series: DE - Aruanas (ID: 3683, Category: 513)
  - Series: DE - Asphalt-Cowboys (ID: 3830, Category: 513)
  - Series: DE - Astra Lost in Space (ID: 3718, Category: 513)
  - Series: DE - Atiye: Die Gabe (ID: 3818, Category: 513)
  - Series: DE - Atlantic Crossing (ID: 3624, Category: 513)
  - Series: DE - Attack on Titan (ID: 3378, Category: 513)
  - Series: DE - Atypical (ID: 3497, Category: 513)
  - Series: DE - Aus der Spur (ID: 3877, Category: 513)
  - Series: DE - Ausgerechnet Alaska (ID: 3708, Category: 513)
  - Series: DE - Avatar - Der Herr der Elemente (ID: 3541, Category: 513)
  - Series: DE - Away (ID: 3756, Category: 513)
  - Series: DE - Babylon Berlin (ID: 3821, Category: 513)
  - Series: DE - Bagdad nach dem Sturm (ID: 3493, Category: 513)
  - Series: DE - Band of Brothers - Wir waren wie Brüder (ID: 3717, Category: 513)
  - Series: DE - Barbaren [Multi Sub] (ID: 3742, Category: 513)
  - Series: DE - Barbecue Kings (ID: 3869, Category: 513)
  - Series: DE - Barbie Dreamtopia (ID: 3876, Category: 513)
  - Series: DE - Baron Noir (ID: 3569, Category: 513)
  - Series: DE - Baskets (ID: 3550, Category: 513)
  - Series: DE - Bastard!! Der Gott der Zerstörung (ID: 3296, Category: 513)
  - Series: DE - Batwoman (ID: 3431, Category: 513)
  - Series: DE - Bauer sucht frau international (ID: 3868, Category: 513)
  - Series: DE - Beecham House (ID: 3789, Category: 513)
  - Series: DE - Beforeigners (ID: 3473, Category: 513)
  - Series: DE - Better Call Saul (ID: 3693, Category: 513)
  - Series: DE - Betty (ID: 3697, Category: 513)
  - Series: DE - Betty in New York (ID: 3692, Category: 513)
  - Series: DE - Bettys Diagnose (ID: 3788, Category: 513)
  - Series: DE - Beyond (ID: 3490, Category: 513)
  - Series: DE - Big City Greens (ID: 3602, Category: 513)
  - Series: DE - Binge Reloaded (ID: 3685, Category: 513)
  - Series: DE - Biohackers (ID: 3787, Category: 513)
  - Series: DE - Bir Baskadir (ID: 3613, Category: 513)
  - Series: DE - Black Knight (ID: 3317, Category: 513)
  - Series: DE - Black Lightning (ID: 3505, Category: 513)
  - Series: DE - Black Sails (ID: 3672, Category: 513)
  - Series: DE - Black Summer (ID: 2301, Category: 513)
  - Series: DE - Black Summer (ID: 3519, Category: 513)
  - Series: DE - Blackout (ID: 3432, Category: 513)
  - Series: DE - Bless the Harts (ID: 3483, Category: 513)
  - Series: DE - Blindspot (ID: 3543, Category: 513)
  - Series: DE - Blood & Water (ID: 3875, Category: 513)
  - Series: DE - Blood Drive (ID: 3786, Category: 513)
  - Series: DE - Blood of Zeus (ID: 3716, Category: 513)
  - Series: DE - BoJack.Horseman (ID: 3785, Category: 513)
  - Series: DE - Bosch (ID: 3817, Category: 513)
  - Series: DE - Brand New Cherry Flavor (ID: 3470, Category: 513)
  - Series: DE - Breaking Bad (ID: 3816, Category: 513)
  - Series: DE - Breaking Even (ID: 3631, Category: 513)
  - Series: DE - Breathe: Into the Shadows (ID: 3468, Category: 513)
  - Series: DE - Breeders (ID: 3784, Category: 513)
  - Series: DE - Briarpatch (ID: 3749, Category: 513)
  - Series: DE - Bridgerton (ID: 3671, Category: 513)
  - Series: DE - Brooklyn Nine-Nine (ID: 3630, Category: 513)
  - Series: DE - Bull (ID: 3691, Category: 513)
  - Series: DE - Buried by the Bernards (ID: 3587, Category: 513)
  - Series: DE - Californian Commando (ID: 3668, Category: 513)
  - Series: DE - Call Your Mother (ID: 3500, Category: 513)
  - Series: DE - Calls (ID: 3618, Category: 513)
  - Series: DE - Capitani (ID: 3650, Category: 513)
  - Series: DE - Carnival Row (ID: 3325, Category: 513)
  - Series: DE - Castle (ID: 3604, Category: 513)
  - Series: DE - Castle Rock (ID: 3677, Category: 513)
  - Series: DE - Castlevania (ID: 3531, Category: 513)
  - Series: DE - Caïd (ID: 3568, Category: 513)
  - Series: DE - Chambers (ID: 3899, Category: 513)
  - Series: DE - Charmed - Zauberhafte Hexen (ID: 3401, Category: 513)
  - Series: DE - Chernobyl (ID: 3898, Category: 513)
  - Series: DE - Chip und Chap - Die Ritter des Rechts (ID: 3584, Category: 513)
  - Series: DE - Chosen (ID: 3375, Category: 513)
  - Series: DE - Chucky (ID: 3360, Category: 513)
  - Series: DE - City on a Hill (ID: 3514, Category: 513)
  - Series: DE - Clickbait (ID: 3466, Category: 513)
  - Series: DE - Cobra Kai (ID: 3783, Category: 513)
  - Series: DE - Code 404 (ID: 3572, Category: 513)
  - Series: DE - Colony (ID: 3710, Category: 513)
  - Series: DE - Condor (ID: 3615, Category: 513)
  - Series: DE - Country Comfort (ID: 3581, Category: 513)
  - Series: DE - Criminal Minds: Team Red (ID: 3829, Category: 513)
  - Series: DE - Crowded (ID: 3782, Category: 513)
  - Series: DE - Cruel Summer (ID: 3492, Category: 513)
  - Series: DE - Cryptid (ID: 3704, Category: 513)
  - Series: DE - CSI - Den Tätern auf der Spur (ID: 3820, Category: 513)
